Input Port;Fan IN
TU_4_4_12_TU_4_4_12_g0_auto_1.limit_k;2
TU_4_4_12_TU_4_4_12_g0_auto_1.limit_j;2
TU_4_4_12_TU_4_4_12_g0_auto_1.limit_i;2
TU_4_4_12_TU_4_4_12_g0_auto_0.limit_k;2
TU_4_4_12_TU_4_4_12_g0_auto_0.limit_j;2
TU_4_4_12_TU_4_4_12_g0_auto_0.limit_i;2
SIW_CTRL_SIW_CTRL_auto_0.done;2
SHIFT_R5_32_SHIFT_R5_32_g0_auto_3.in;2
SHIFT_R5_32_SHIFT_R5_32_g0_auto_2.in;2
SHIFT_R5_32_SHIFT_R5_32_g0_auto_1.in;2
SHIFT_R5_32_SHIFT_R5_32_g0_auto_0.in;2
SEP_32_SEP_32_g0_auto_1.in;2
SEP_32_SEP_32_g0_auto_0.in;2
MEM_g07.write_b;2
MEM_g07.write_a;2
MEM_g05.write_b;2
MEM_g05.write_a;2
MEM_g04.write_b;2
MEM_g04.write_a;2
MEM_g03.write_b;2
MEM_g03.write_a;2
MEM_g01.write_a;2
MEM_g01.address_a;2
BM_BM_g0_auto_0.i3;2
BM_BM_g0_auto_0.i2;2
BM_BM_g0_auto_0.i1;2
BM_BM_g0_auto_0.i0;2
BAU_12_BAU_12_g0_auto_4.ld_val;2
BAU_12_BAU_12_g0_auto_3.ld_val;2
BAU_12_BAU_12_g0_auto_3.ld;2
BAU_12_BAU_12_g0_auto_3.inc;2
BAU_12_BAU_12_g0_auto_3.en;2
BAU_12_BAU_12_g0_auto_2.ld_val;2
BAU_12_BAU_12_g0_auto_2.cmp;2
BAU_12_BAU_12_g0_auto_13.ld_val;2
BAU_12_BAU_12_g0_auto_13.inc;2
BAU_12_BAU_12_g0_auto_12.ld_val;2
BAU_12_BAU_12_g0_auto_12.ld;2
BAU_12_BAU_12_g0_auto_12.inc;2
BAU_12_BAU_12_g0_auto_12.en;2
BAU_12_BAU_12_g0_auto_11.ld_val;2
BAU_12_BAU_12_g0_auto_11.inc;2
