Output Port;Fan Out
ZERO_g00.fixed_out_1;66
ZERO_g00.fixed_out_32;26
ONE_g00.fixed_out_1;26
ZERO_g00.fixed_out_12;20
DLINE_1_16_DLINE_1_16_g0_auto_0.out;9
ONE_g00.fixed_out_32;8
ONE_g00.fixed_out_12;8
GENERIC_VALUE_g05.out;8
GENERIC_VALUE_g04.out;8
DLINE_32_16_DLINE_32_16_g0_auto_1.out;8
TU_4_4_12_TU_4_4_12_g0_auto_0.enable_K_;6
TU_4_4_12_TU_4_4_12_g0_auto_1.start_K_;5
TU_4_4_12_TU_4_4_12_g0_auto_1.start_J_;5
TU_4_4_12_TU_4_4_12_g0_auto_1.enable_J_;5
TU_4_4_12_TU_4_4_12_g0_auto_0.start_K_;5
BM_BM_g0_auto_2.out;5
ZERO_g00.fixed_out_14;4
TU_4_4_12_TU_4_4_12_g0_auto_0.start_J_;4
TU_4_4_12_TU_4_4_12_g0_auto_0.enable_J_;4
SIW_CTRL_SIW_CTRL_auto_0.out7;4
SIW_CTRL_SIW_CTRL_auto_0.out6;4
SIW_CTRL_SIW_CTRL_auto_0.out2;4
SIW_CTRL_SIW_CTRL_auto_0.out1;4
SIW_CTRL_SIW_CTRL_auto_0.out0;4
BAU_12_BAU_12_g0_auto_3.out;4
BAU_12_BAU_12_g0_auto_12.out;4
TU_4_4_12_TU_4_4_12_g0_auto_1.enable_K_;3
MUX2TO1_32_MUX2TO1_32_g0_auto_0.out;3
MEM_g09.data_b;3
MEM_g09.data_a;3
MEM_g08.data_b;3
MEM_g08.data_a;3
MEM_g01.data_b;3
MEM_g01.data_a;3
MEM_g00.data_b;3
MEM_g00.data_a;3
GENERIC_VALUE_g06.out;3
DLINE_32_16_DLINE_32_16_g0_auto_0.out;3
CLIP_32_CLIP_32_g0_auto_7.out;3
CLIP_32_CLIP_32_g0_auto_3.out;3
BM_BM_g0_auto_0.out;3
BAU_12_BAU_12_g0_auto_9.out;3
BAU_12_BAU_12_g0_auto_4.out;3
ZERO_g00.fixed_out_8;2
TWO_g00.fixed_out_12;2
TU_4_4_12_TU_4_4_12_g0_auto_1.start_I_;2
TU_4_4_12_TU_4_4_12_g0_auto_1.enable_I_;2
SREG_32_SREG_32_g0_auto_7.out;2
SREG_32_SREG_32_g0_auto_6.out;2
SREG_32_SREG_32_g0_auto_5.out;2
SREG_32_SREG_32_g0_auto_4.out;2
SREG_32_SREG_32_g0_auto_3.out;2
